name,url,Type_TV_or_Movie,cumulative_reviews,release_date,days_since_release,latest_tomatometer,reviews_day_1,reviews_day_2,reviews_day_3,reviews_day_4,reviews_day_5,reviews_day_6,reviews_day_7,reviews_day_8,reviews_day_9,reviews_day_10,final_reviews,tomatometer_day_1,tomatometer_day_2,tomatometer_day_3,tomatometer_day_4,tomatometer_day_5,tomatometer_day_6,tomatometer_day_7,tomatometer_day_8,tomatometer_day_9,tomatometer_day_10
Season 4 – The Witcher,https://www.rottentomatoes.com/tv/the_witcher/s04,TV,26,2025-10-30,37,0.5769230769230769,17,3,0,0,3,1,0,1,0,0,26,0.5294117647058824,0.6,0.6,0.6,0.6086956521739131,0.5833333333333334,0.5833333333333334,0.56,0.56,0.56
Zootopia 2,https://www.rottentomatoes.com/m/zootopia_2,Movie,179,2025-11-26,10,0.9222222222222223,108,11,7,6,2,12,23,5,2,3,180,0.9259259259259259,0.9159663865546218,0.9126984126984127,0.9090909090909091,0.9104477611940298,0.9178082191780822,0.9230769230769231,0.9252873563218391,0.9261363636363636,0.9217877094972067
Wake Up Dead Man: A Knives Out Mystery,https://www.rottentomatoes.com/m/wake_up_dead_man_a_knives_out_mystery,Movie,216,2025-11-26,10,0.9212962962962963,153,5,1,3,4,9,21,10,5,5,216,0.9477124183006536,0.9493670886075949,0.949685534591195,0.9506172839506173,0.9518072289156626,0.9428571428571428,0.9285714285714286,0.9223300970873787,0.9241706161137441,0.9212962962962963
Wicked: For Good,https://www.rottentomatoes.com/m/wicked_for_good,Movie,314,2025-11-21,15,0.6741214057507987,226,12,15,25,7,8,2,0,0,1,313,0.6991150442477876,0.6974789915966386,0.691699604743083,0.6834532374100719,0.6807017543859649,0.6723549488054608,0.6711864406779661,0.6711864406779661,0.6711864406779661,0.6722972972972973
Rental Family,https://www.rottentomatoes.com/m/rental_family,Movie,138,2025-11-21,15,0.8613138686131386,100,6,5,5,4,2,0,0,1,2,137,0.86,0.8679245283018868,0.8738738738738738,0.8620689655172413,0.8666666666666667,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8699186991869918,0.864
The Running Man,https://www.rottentomatoes.com/m/the_running_man_2025,Movie,272,2025-11-14,22,0.6360294117647058,196,13,9,12,16,2,0,7,0,2,272,0.6428571428571429,0.6363636363636364,0.6467889908256881,0.6434782608695652,0.6544715447154471,0.657258064516129,0.657258064516129,0.6509803921568628,0.6509803921568628,0.6536964980544747
Now You See Me: Now You Don't,https://www.rottentomatoes.com/m/now_you_see_me_now_you_dont_2025,Movie,138,2025-11-14,22,0.6086956521739131,98,7,1,7,5,1,1,3,1,2,138,0.5816326530612245,0.5904761904761905,0.5943396226415094,0.5929203539823009,0.6016949152542372,0.5966386554621849,0.6,0.6097560975609756,0.6129032258064516,0.6190476190476191
Sarah's Oil,https://www.rottentomatoes.com/m/sarahs_oil,Movie,12,2025-11-07,29,0.8333333333333334,8,1,0,1,2,0,0,0,0,0,12,0.75,0.7777777777777778,0.7777777777777778,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
Predator: Badlands,https://www.rottentomatoes.com/m/predator_badlands,Movie,260,2025-11-07,29,0.8615384615384616,182,12,7,14,6,5,5,5,1,2,260,0.8571428571428571,0.8505154639175257,0.8557213930348259,0.8511627906976744,0.8552036199095022,0.8539823008849557,0.8571428571428571,0.8601694915254238,0.8565400843881856,0.8577405857740585
